id,nama_parfum,brand,description,notes,harga,gender_target,waktu_penggunaan,occasion,wangi_vibe,url_foto,url_produk,rating_value,rating_count,created_at,concentration,top_notes,middle_notes,base_notes,main_accords,cuaca_musim,longevity,sillage
00ef3928-a341-456d-aa88-9f72e82a723f,Extrait de Parfum XOCOLATL,Saff & Co,"XOCOLATL pays tribute to the first hot chocolate drink in the world � a luscious infusion that has earned a special place in the hearts of humankind for millennia. Gifted by God Quetzalcoatl as the Drink of the Deities, XOCOLATL was believed to be blended with sweet mandarin, creamy heliotrope and a secret aphrodisiac known only to the old gods & the lost civilization. Bergamot Fresh Fruity Gourmand Sweet Tropical",,21850000,Pria,Pagi / Siang,Sport / Outdoor,,,https://saffnco.com/products/extrait-de-parfum-xocolatl,0,0,2026-05-12 01:11:54.807979+00,Extrait de Parfum,N/A,N/A,N/A,"Citrus, Fresh, Gourmand, Fruity",Musim Panas,Sangat Tahan Lama (8+ jam),Sedang (Moderate)
011c29d0-cb5a-417d-95e1-0f4f69a9c17e,Jolicliss Butterfly Era Perfume,Best,Best Selling (Buy 1 Get 3 Perfumes) Bubble Gum Perfume 30ml Long Lasting Perfume Clothing Perfume Chewing Gum Perfume,,10000,Unisex,N/A,N/A,,,https://www.lazada.co.id/products/pdp-i18815449530.html,0,0,2026-05-12 01:10:11.437383+00,Unspecified,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01bdb725-3b61-4a78-a7d8-ecf59f1e776c,EDP 30ml Perfume Bundle,Parfum,Parfum Inspired Scarlett Whitening Extrait De Parfum Purple Kiss 30ml,,9000,Unisex,N/A,N/A,,,https://www.lazada.co.id/products/pdp-i18826111771.html,0,0,2026-05-12 01:10:11.437383+00,Extrait de Parfum,N/A,N/A,N/A,N/A,N/A,Sangat Tahan Lama (8+ jam),N/A
01d198a6-4ee0-4d78-a04f-dfbeb6ea7dab,Nagita Slavina EDP 35ml,BELI,BELI 1 DAPAT 3 (HEYMINE PARFUM AROMA | VANILLA -VANILLA CARAMEL -CHOCOLATE VANILLA -35ML,,9000,Unisex,N/A,N/A,,,https://www.lazada.co.id/products/pdp-i8348570940.html,0,0,2026-05-12 01:10:11.437383+00,Parfum,N/A,N/A,N/A,"Oriental, Gourmand",N/A,Tahan Lama (4-8 jam),N/A
01df5d54-c7b0-4ecc-b6b2-4428f9adab84,Lelabo JLO Still Perfume,Scarletti,Scarletti Whitening Parfum Memories Dreamy 30ml | Scarlett Whitening Eau De Parfume,,9000,Unisex,N/A,N/A,,,https://www.lazada.co.id/products/pdp-i8781004953.html,0,0,2026-05-12 01:10:11.437383+00,Eau de Parfum (EDP),N/A,N/A,N/A,N/A,N/A,Tahan Lama (4-8 jam),Kuat (Moderate-Heavy)
03e56d9d-c706-43ab-a24d-85f31a46856f,Posh Men Body Spray 150ml,(30ml,(30ml sp) cheapest best selling 30 ml perfume refill plstick with top quality,,4850,Unisex,N/A,N/A,,,https://www.lazada.co.id/products/pdp-i7949062853.html,0,0,2026-05-12 01:10:11.437383+00,Unspecified,N/A,N/A,N/A,N/A,N/A,N/A,N/A
041ae2b2-ec2e-40d6-a55b-29c6589b12c0,Extrait de Parfum Travel Size KIRITHRA,Saff & Co,"KIRITHRA draws you into a rich, sweet olfactory experience that drifts from blossoming petals to the warmth of ambered woods. Introduced with the lush sweetness of Sidr Honey, it seamlessly blends with the bright, fresh zest of Clementine, deepened by the smoky undertone of Birch Tar. A captivating, radiant opening that entices the senses. As it lingers, the historic rose note of Roseraie de l'Hay unfolds in harmony with the delicately creamy Sampaguita, infusing a softer, more floral touch into the scent. The woody and peppery profile of Akigalawood then lends a grounding contrast that enhances the heart. In its final embrace, the base settles into a comforting caress of ambery Georgywood, musky Cashmeran, and sweet-earthy Sulawesi Patchouli, transforming the journey of sweetness and florals into a refined and warmly enveloping trail Ambery Bergamot Earthy Fresh Musky Spicy Warm",,8900000,Pria,Pagi / Siang,Sport / Outdoor,,,https://saffnco.com/products/extrait-de-parfum-travel-size-kirithra,0,0,2026-05-12 01:11:54.807979+00,Extrait de Parfum,N/A,N/A,"a comforting caress of ambery Georgywood, musky Cashmeran, and sweet-earthy Sulawesi Patchouli, transforming the journey of sweetness and florals into a refined and warmly enveloping trail Ambery Bergamot Earthy Fresh Musky Spicy Warm","Woody, Floral, Citrus, Oriental",Musim Semi,Sangat Tahan Lama (8+ jam),Sedang (Moderate)
045ab6e6-1088-4507-b011-57dce0771068,DNHL Desr Blue 100ml,Best,Best seller Perfume promo roll on 7ml non alcohol 100% hot sale murmer price,,2750,Unisex,N/A,N/A,,,https://www.lazada.co.id/products/pdp-i8644842569.html,0,0,2026-05-12 01:10:11.437383+00,Unspecified,N/A,N/A,N/A,N/A,Musim Panas,N/A,N/A
0462a5ae-db16-4c54-b00c-7b2b9c43e63a,Amanda Manopo Perfume,Amanda,"Parfum amanda manopo tahan lama 24 jam ori/ Minyak Wangi Cewek Ninggalin Jejak App 4.8 (1077) Rp 8.000 Rp25.000 -68% Promosi: Rp1.500 Pilihan pengiriman : DKI Jakarta, Kota Jakarta Barat, Cengkareng UBAH Dijamin tiba 10-15 Mei Standar,with shipping fee Rp9.000 Pengembalian & Garansi : Berubah Pikiran � Pengembalian Gratis 7 Hari � 1 Bulan Garansi Penjual Variation3: 3ml vial 20ml spray 30ml spray 100ml spray 10ml roll on 15ml spray 50ml spray 3ml vial Kuantitas: Beli sekarang Tambah ke troli Share Like",,32000,Pria,Seharian,N/A,,,https://www.lazada.co.id/products/pdp-i5585068483.html,0,0,2026-05-12 01:10:11.437383+00,Parfum,N/A,N/A,N/A,N/A,N/A,Sangat Tahan Lama (8+ jam),N/A
05488905-997e-4115-8297-83aa2b779b23,Roll On Perfume Bandung,Cheap,Cheap Perfume in 7ml Non-Alcoholic Packages,,3200,Unisex,N/A,N/A,,,https://www.lazada.co.id/products/pdp-i7959834813.html,0,0,2026-05-12 01:10:11.437383+00,Unspecified,N/A,N/A,N/A,N/A,N/A,N/A,N/A
05945638-0857-457f-89d9-fe35b48f46da,Parfum Inspirasi 50ml,BELI,BELI 1 DAPAT 4 PROMO PARFUM HRNY SIDE EFFECT + MR CRUSH BEST SELLER PRIA ORIGINAL SCENTPLUS - Eau De Parfum 35ml,,27000,Pria,N/A,N/A,,,https://www.lazada.co.id/products/pdp-i8019632227.html,0,0,2026-05-12 01:10:11.437383+00,Eau de Parfum (EDP),N/A,N/A,N/A,N/A,N/A,Tahan Lama (4-8 jam),Kuat (Moderate-Heavy)
05b4e582-b348-4b2c-afdc-4b480885c3a5,Vanilla Perfume,TRENDING,TRENDING TERMURAH BELI 1 DAPAT 2 Parfum terlaris no 1 parfume Semar mesem original paket bundel,,8000,Unisex,N/A,N/A,,,https://www.lazada.co.id/products/pdp-i8303618468.html,0,0,2026-05-12 01:10:11.437383+00,Parfum,N/A,N/A,N/A,N/A,N/A,Tahan Lama (4-8 jam),N/A
07e90971-0a39-40c5-94e3-6fbcf798da13,Baccarat Candy Opium Vanilla Bluehill X Scandalous,Buy,"Beli 1 Gratis 1 Parfum Baccarat Candy Opium Vanilla Bluehill x Scandalous EDP 35ML Parfum Pria Wanita Aroma Elegant Mewah Tahan Lama App Rp 19.600 Rp95.000 -79% Pilihan pengiriman : DKI Jakarta, Kota Jakarta Barat, Cengkareng UBAH Dijamin tiba 11-16 Mei Standar,with shipping fee Rp15.500 Pengembalian & Garansi : Berubah Pikiran � Pengembalian Gratis 7 Hari � Garansi tidak tersedia Aroma: baccarat candy baccarat candy opium vanilla bluehill x scandalio BONUS: Baccarat Candy Baccarat Candy Bluehill x Scandalio Opium Vanilla Kuantitas: Beli sekarang Tambah ke troli Share Like",,19600,Pria,N/A,N/A,,,https://www.lazada.co.id/products/pdp-i18834325965.html,0,0,2026-05-12 01:10:11.437383+00,Eau de Parfum (EDP),N/A,N/A,N/A,Oriental,N/A,Sangat Tahan Lama (8+ jam),Kuat (Moderate-Heavy)
07f27911-ee24-4b09-b92a-d8623811a7f3,HMNS Alpha Eau De Parfum 100 ml,HMNS,"Alpha adalah salah satu parfum maskulin pertama HMNS. Nama �Alpha� terinspirasi dari huruf pertama alfabet, �A�, melambangkan awal dari sesuatu yang baru. Bayangin kamu lagi jalan pagi-pagi di hutan, segarnya udara yang penuh aroma kayu dan dedaunan basah, lalu kamu duduk di depan teras rumah kamu sambil menikmati teh hangat. notes__Wood",,32000000,Pria,Pagi / Siang,N/A,,,https://madeforhmns.com/products/alpha-100ml,0,0,2026-05-12 01:11:53.105781+00,Eau de Parfum (EDP),N/A,N/A,N/A,"Woody, Fresh",N/A,Tahan Lama (4-8 jam),Kuat (Moderate-Heavy)
