id;nama_parfum;brand;gender_target;concentration;top_notes;middle_notes;base_notes;main_accords;waktu_penggunaan;occasion;cuaca_musim;longevity;sillage;description;rating_value;rating_count;harga;url_produk
203a862b-5b29-4d0c-8b53-638b95f6d9c3;Kahf Spicestone Extrait de Parfum;Kahf;Pria;Extrait de Parfum;N/A;N/A;N/A;"Woody, Floral, Citrus, Oriental";Pagi / Siang;Sport / Outdoor;Musim Semi;Sangat Tahan Lama (8+ jam);Sedang (Moderate);NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. Symrose� adds fresh rose clarity;;;;
6a4142b4-4a1e-434d-8ad9-39943eaad4af;Kahf Ambremusc Extrait de Parfum;Kahf;Pria;Extrait de Parfum;N/A;N/A;N/A;"Woody, Citrus, Oriental, Aromatic";N/A;N/A;Musim Gugur;Sangat Tahan Lama (8+ jam);Sangat Kuat (Loud);NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. Lorenox� brings bold woods;;;;
5ad9e74b-b20b-4eac-8f38-18d1870ee581;Kahf Humbling Forest Eau de Parfum;Kahf;Pria;Eau de Parfum (EDP);N/A;N/A;N/A;"Woody, Floral, Fresh, Aromatic";Pagi / Siang;Sport / Outdoor;Musim Semi;Tahan Lama (4-8 jam);Kuat (Moderate-Heavy);"NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. Men's Eau de Toilette with Cypress forest & Cedarwood scent with a hint of fresh floral. Spray a sufficient amount of perfume to your clothes and body Ethanol, Aqua, Fragrance, Trideceth-9, PEG-40 Hydrogenated Castor Oil, Polysorbate 20, Benzophenone-2 Join the Brotherhood. Get 10% Off Your First Gear. � Kahf 2026.Kahf is a part of Paragon Technology and Innovation. Site byAntikode. By clicking 'Accept cookies', you agree to the use of cookies on your device to enhance your shopping experience, analyze site usage, and support our marketing efforts. To learn more about cookies, please refer to our Privacy Policy Find Your Skin Type Here!";0;0;0;https://www.kahfeveryday.com/product/kahf-humbling-forest-eau-de-parfum
a174e382-ae5b-4409-b09d-25bbda35ca71;Kahf Mineralwave Extrait de Parfum;Kahf;Pria;Extrait de Parfum;N/A;N/A;N/A;"Woody, Citrus, Oriental, Fresh";Pagi / Siang;N/A;Musim Gugur;Sangat Tahan Lama (8+ jam);Dekat (Skin Scent);NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. Akigalawood� adds spicy woods;;;;
89d1f97d-da8d-4e50-aa51-2bfd789bc9f6;Kahf Invigorating Waterfall Eau de Parfum;Kahf;Pria;Eau de Parfum (EDP);N/A;N/A;N/A;"Floral, Citrus, Fresh, Aromatic";Pagi / Siang;Sport / Outdoor;Musim Semi;Tahan Lama (4-8 jam);Kuat (Moderate-Heavy);"NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. Men�s Eau de Toilette with a fresh aquatic and floral scent, added with a touch of citrus. Spray a sufficient amount of perfume to your clothes and body Ethanol, Aqua, Fragrance, Trideceth-9, PEG-40 Hydrogenated Castor Oil, Polysorbate 20, Benzophenone-2 Join the Brotherhood. Get 10% Off Your First Gear. � Kahf 2026.Kahf is a part of Paragon Technology and Innovation. Site byAntikode. By clicking 'Accept cookies', you agree to the use of cookies on your device to enhance your shopping experience, analyze site usage, and support our marketing efforts. To learn more about cookies, please refer to our Privacy Policy Find Your Skin Type Here!";0;0;0;https://www.kahfeveryday.com/product/kahf-invigorating-waterfall-eau-de-parfum
3f852bb4-5527-4dd9-85a8-9c0c99815625;Kahf Saffron Oud Eau de Parfum;Kahf;Pria;Eau de Parfum (EDP);N/A;N/A;N/A;"Woody, Citrus, Oriental, Gourmand";Seharian;N/A;N/A;Sangat Tahan Lama (8+ jam);Kuat (Moderate-Heavy);"NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. Men�s perfume with a slightly spicy and sweet blend of saffron, oud, mandarin, and long-lasting wood Spray a sufficient amount of perfume to your clothes and body Ethanol, Fragrance, Aqua, Trideceth-9, PEG-40 Hydrogenated Castor Oil, Polysorbate 20, Allantoin, Benzophenone-2, Resorcinol. Long Lasting 24 Hours Join the Brotherhood. Get 10% Off Your First Gear. � Kahf 2026.Kahf is a part of Paragon Technology and Innovation. Site byAntikode. By clicking 'Accept cookies', you agree to the use of cookies on your device to enhance your shopping experience, analyze site usage, and support our marketing efforts. To learn more about cookies, please refer to our Privacy Policy Find Your Skin Type Here!";0;0;0;https://www.kahfeveryday.com/product/kahf-saffron-oud-eau-de-parfum
f4f630c5-5042-49fd-9449-710b976c2ba8;Kahf Revered Oud Eau de Parfum;Kahf;Pria;Eau de Parfum (EDP);N/A;N/A;N/A;"Woody, Citrus, Oriental, Gourmand";Seharian;N/A;N/A;Sangat Tahan Lama (8+ jam);Kuat (Moderate-Heavy);"NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. Men�s perfume with a slightly spicy and sweet blend of saffron, oud, mandarin, and long-lasting wood Spray a sufficient amount of perfume to your clothes and body Ethanol, Fragrance, Aqua, Trideceth-9, PEG-40 Hydrogenated Castor Oil, Polysorbate 20, Allantoin, Benzophenone-2, Resorcinol. Long Lasting 24 Hours Join the Brotherhood. Get 10% Off Your First Gear. � Kahf 2026.Kahf is a part of Paragon Technology and Innovation. Site byAntikode. By clicking 'Accept cookies', you agree to the use of cookies on your device to enhance your shopping experience, analyze site usage, and support our marketing efforts. To learn more about cookies, please refer to our Privacy Policy Find Your Skin Type Here!";0;0;0;https://www.kahfeveryday.com/product/kahf-revered-oud-eau-de-parfum
a3432bbe-5c01-48e6-bc93-53c616368866;Kahf Neofougere Extrait De Parfum;Kahf;Pria;Extrait de Parfum;N/A;N/A;N/A;"Woody, Oriental, Spicy, Aromatic";N/A;N/A;Musim Gugur;Sangat Tahan Lama (8+ jam);Dekat (Skin Scent);"NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. Built on Operanide�, it refines Cashmeran� into a smooth woody scent. Lasts up to 12 hours. Spray a sufficient amount of perfume to your clothes and body Pink Pepper, Grapefruit, Lavender, Ginger, Muguet, Cinnamon, Vetiver, Amber Xtreme, Olibanum, Moss Join the Brotherhood. Get 10% Off Your First Gear. � Kahf 2026.Kahf is a part of Paragon Technology and Innovation. Site byAntikode. By clicking 'Accept cookies', you agree to the use of cookies on your device to enhance your shopping experience, analyze site usage, and support our marketing efforts. To learn more about cookies, please refer to our Privacy Policy Find Your Skin Type Here!";0;0;0;https://www.kahfeveryday.com/product/kahf-neofougere-extrait-de-parfum
fc2e6dec-25fd-4be9-8e52-dd6141722128;Kahf Humbling Forest Eau de Toilette;Kahf;Pria;Eau de Toilette (EDT);N/A;N/A;N/A;"Woody, Floral, Fresh, Aromatic";Pagi / Siang;Sport / Outdoor;Musim Semi;Sedang (2-4 jam);Sedang (Moderate);"NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. Men's Eau de Toilette with Cypress forest & Cedarwood scent with a hint of fresh floral. Spray EDT to desired clothes and/or body area. Ethanol, Aqua, Fragrance, Trideceth-9, PEG-40 Hydrogenated Castor Oil, Polysorbate 20, Benzophenone-2 Join the Brotherhood. Get 10% Off Your First Gear. � Kahf 2026.Kahf is a part of Paragon Technology and Innovation. Site byAntikode. By clicking 'Accept cookies', you agree to the use of cookies on your device to enhance your shopping experience, analyze site usage, and support our marketing efforts. To learn more about cookies, please refer to our Privacy Policy Find Your Skin Type Here!";0;0;0;https://www.kahfeveryday.com/product/kahf-humbling-forest-eau-de-toilette
c9a08121-a901-4c43-bd3c-585c31669c80;Kahf Invigorating Waterfall Eau de Toilette;Kahf;Pria;Eau de Toilette (EDT);N/A;N/A;N/A;"Floral, Citrus, Fresh, Aromatic";Pagi / Siang;Sport / Outdoor;Musim Semi;Sedang (2-4 jam);Sedang (Moderate);"NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. NEW! Kahf Pomade and Hair Powder. Men�s Eau de Toilette with a fresh aquatic and floral scent, added with a touch of citrus. Spray EDT to desired clothes and/or body area. Ethanol, Aqua, Fragrance, Trideceth-9, PEG-40 Hydrogenated Castor Oil, Polysorbate 20, Benzophenone-2 Join the Brotherhood. Get 10% Off Your First Gear. � Kahf 2026.Kahf is a part of Paragon Technology and Innovation. Site byAntikode. By clicking 'Accept cookies', you agree to the use of cookies on your device to enhance your shopping experience, analyze site usage, and support our marketing efforts. To learn more about cookies, please refer to our Privacy Policy Find Your Skin Type Here!";0;0;0;https://www.kahfeveryday.com/product/kahf-invigorating-waterfall-eau-de-toilette
